"station_id","terminal_id","x_lon","y_lat","address","postcode","place","area","docks","first_hire","last_hire","is_active","hires_started","duration_started","hires_ended","duration_ended","hires_self","duration_self","hires_started_noself","duration_started_noself","hires_ended_noself","duration_ended_noself","OA","LSOA","MSOA","LAD","WARD","PCON","PCS","PCD","PCA"
27,"001021",-0.107927,51.513821,"4 Bouverie St, London EC4Y, UK","EC4Y8AY","Bouverie Street","Temple",33,20120104,20170919,1,102626,975,108627,972,813,2610,101813,962,107814,959,"E00000025","E01032740","E02000001","E09000001","","","EC4Y8","EC4Y","EC"
28,"001025",-0.143613,51.523518,"53 Bolsover St, Fitzrovia, London W1W 5NG, UK","W1W 5JL","Bolsover Street","Fitzrovia",19,20120104,20170919,1,112922,1145,110548,1163,3550,3323,109372,1075,106998,1091,"E00023818","E01004715","E02000972","E09000033","","","W1W 5","W1W","W"
29,"001016",-0.193487,51.513735,"64 Leinster Square, London W2, UK","W2  4PW","Hereford Road","Bayswater",22,20120104,20170919,1,66818,1325,61085,1314,1951,3346,64867,1265,59134,1247,"E00023480","E01004654","E02000973","E09000033","","","W2  4","W2","W"
30,"001029",-0.093421,51.529154,"2 Windsor Terrace, London N1, UK","N1  7TJ","Windsor Terrace","Hoxton",24,20120104,20170919,1,78031,915,65777,907,1150,3196,76881,881,64627,866,"E00008877","E01001779","E02000370","E09000012","","","N1  7","N1","N"
32,"001020",-0.084439,51.524696,"56-64 Leonard St, London EC2A 4LT, UK","EC2A4LW","Leonard Circus","Shoreditch",43,20120104,20170919,1,147930,1011,153479,905,2293,2703,145637,985,151186,877,"E00008834","E01033708","E02000371","E09000012","","","EC2A4","EC2A","EC"
34,"003428",-0.129386,51.534123,"147 Pancras Rd, Kings Cross, London NW1 1UN, UK","NW1 1UH","Pancras Road","King's Cross",16,20120104,20170919,1,52616,1086,51478,1093,792,3282,51824,1052,50686,1058,"E00004734","E01000953","E02000187","E09000007","","","NW1 1","NW1","NW"
36,"003446",-0.18498,51.501737,"1 De Vere Gardens, Kensington, London W8, UK","SW7 5BB","De Vere Gardens","Kensington",28,20120104,20170919,1,65155,1585,57498,1514,2085,3374,63070,1526,55413,1444,"E00014525","E01002891","E02000586","E09000020","","","SW7 5","SW7","SW"
37,"003444",-0.192369,51.491593,"1 Penywern Rd, Kensington, London SW5, UK","SW5 9AD","Penywern Road","Earl's Court",17,20120104,20170919,1,70537,1511,69112,1509,2404,4282,68133,1414,66708,1409,"E00014285","E01002849","E02000593","E09000020","","","SW5 9","SW5","SW"
38,"003442",-0.197245,51.497387,"84 Abingdon Villas, Kensington, London W8, UK","W8  6ED","Abingdon Villas","Kensington",17,20120104,20170919,1,41872,1014,41528,1045,1073,2885,40799,964,40455,996,"E00014067","E01002813","E02000587","E09000020","","","W8  6","W8","W"
39,"003445",-0.07813,51.526377,"134-135 Shoreditch High St, London, E1 6JE, UK","E1  6JE","Shoreditch High Street","Shoreditch",41,20120104,20170919,1,210039,1337,205158,1091,3564,3536,206475,1299,201594,1048,"E00176305","E01033706","E02000371","E09000012","","","E1  6","E1","E"
